N,k,inf_rate,model,max_inf,t_max
1000.0,2.0,0.6,19,55,24
1000.0,2.0,0.6,20,47,43
1000.0,2.0,0.6,21,44,145
1000.0,2.0,0.6,22,58,39
1000.0,2.0,0.6,23,59,24
1000.0,2.0,0.6,24,62,92
1000.0,2.0,0.6,25,59,58
1000.0,2.0,0.6,26,54,29
1000.0,2.0,0.6,27,63,161
1000.0,2.0,0.6,28,53,48
1000.0,2.0,0.6,29,52,44
1000.0,2.0,0.6,30,61,91
1000.0,2.0,0.6,31,47,173
1000.0,2.0,0.6,32,21,192
1000.0,2.0,0.6,33,58,173
1000.0,2.0,0.6,34,50,28
1000.0,2.0,0.6,35,54,27
1000.0,2.0,0.6,36,43,32
1000.0,2.0,0.6,37,41,73
1000.0,2.0,0.6,38,57,42
1000.0,2.0,0.6,39,48,27
1000.0,2.0,0.6,40,44,46
1000.0,2.0,0.6,41,44,74
1000.0,2.0,0.6,42,60,94
1000.0,2.0,0.6,43,60,200
1000.0,2.0,0.6,44,43,75
1000.0,2.0,0.6,45,43,33
1000.0,2.0,0.6,46,48,112
1000.0,2.0,0.6,47,56,49
1000.0,2.0,0.6,48,59,58
1000.0,2.0,0.6,49,62,56
1000.0,2.0,0.6,50,59,174
1000.0,2.0,0.6,51,61,92
1000.0,2.0,0.6,52,60,81
1000.0,2.0,0.6,53,59,104
1000.0,2.0,0.6,54,60,238
1000.0,2.0,0.6,55,68,40
1000.0,2.0,0.6,56,57,33
1000.0,2.0,0.6,57,55,155
1000.0,2.0,0.6,58,57,26
1000.0,2.0,0.6,59,57,140
1000.0,2.0,0.6,60,59,49
1000.0,2.0,0.6,61,55,32
1000.0,2.0,0.6,62,44,44
1000.0,2.0,0.6,63,59,147
1000.0,2.0,0.6,64,58,32
1000.0,2.0,0.6,65,45,41
1000.0,2.0,0.6,66,60,58
1000.0,2.0,0.6,67,59,108
1000.0,2.0,0.6,68,42,112
1000.0,2.0,0.6,69,56,34
1000.0,2.0,0.6,70,51,22
1000.0,2.0,0.6,71,41,62
1000.0,2.0,0.6,72,57,49
1000.0,2.0,0.6,73,54,44
1000.0,2.0,0.6,74,51,25
1000.0,2.0,0.6,75,49,21
1000.0,2.0,0.6,76,60,100
1000.0,2.0,0.6,77,56,40
1000.0,2.0,0.6,78,55,94
1000.0,2.0,0.6,79,55,55
1000.0,2.0,0.6,80,61,110
1000.0,2.0,0.6,81,55,36
1000.0,2.0,0.6,82,55,50
1000.0,2.0,0.6,83,56,91
1000.0,2.0,0.6,84,59,46
1000.0,2.0,0.6,85,56,38
1000.0,2.0,0.6,86,59,46
1000.0,2.0,0.6,87,44,109
1000.0,2.0,0.6,88,56,51
1000.0,2.0,0.6,89,44,24
1000.0,2.0,0.6,90,46,39
1000.0,2.0,0.6,91,59,40
1000.0,2.0,0.6,92,56,85
1000.0,2.0,0.6,93,61,75
1000.0,2.0,0.6,94,59,34
1000.0,2.0,0.6,95,58,37
1000.0,2.0,0.6,96,60,44
1000.0,2.0,0.6,97,50,20
1000.0,2.0,0.6,98,58,54
1000.0,2.0,0.6,99,58,45
1000.0,2.0,0.7,0,55,42
1000.0,2.0,0.7,1,66,169
1000.0,2.0,0.7,2,69,337
1000.0,2.0,0.7,3,50,87
1000.0,2.0,0.7,4,63,45
1000.0,2.0,0.7,5,60,28
1000.0,2.0,0.7,6,55,28
1000.0,2.0,0.7,7,67,54
1000.0,2.0,0.7,8,52,29
1000.0,2.0,0.7,9,66,267
1000.0,2.0,0.7,10,71,51
1000.0,2.0,0.7,11,52,22
1000.0,2.0,0.7,12,62,41
1000.0,2.0,0.7,13,53,25
1000.0,2.0,0.7,14,66,30
1000.0,2.0,0.7,15,56,42
1000.0,2.0,0.7,16,73,67
1000.0,2.0,0.7,17,52,23
1000.0,2.0,0.7,18,43,20
1000.0,2.0,0.7,19,51,48
1000.0,2.0,0.7,20,65,51
1000.0,2.0,0.7,21,54,31
1000.0,2.0,0.7,22,54,21
1000.0,2.0,0.7,23,64,82
1000.0,2.0,0.7,24,61,32
1000.0,2.0,0.7,25,63,34
1000.0,2.0,0.7,26,35,14
1000.0,2.0,0.7,27,73,206
1000.0,2.0,0.7,28,54,23
1000.0,2.0,0.7,29,61,34
1000.0,2.0,0.7,30,69,59
1000.0,2.0,0.7,31,66,106
1000.0,2.0,0.7,32,72,37
1000.0,2.0,0.7,33,62,28
1000.0,2.0,0.7,34,53,55
1000.0,2.0,0.7,35,58,45
1000.0,2.0,0.7,36,53,100
1000.0,2.0,0.7,37,66,42
1000.0,2.0,0.7,38,56,124
1000.0,2.0,0.7,39,54,24
1000.0,2.0,0.7,40,67,38
1000.0,2.0,0.7,41,62,40
1000.0,2.0,0.7,42,67,33
1000.0,2.0,0.7,43,47,25
1000.0,2.0,0.7,44,58,21
1000.0,2.0,0.7,45,43,18
1000.0,2.0,0.7,46,35,21
1000.0,2.0,0.7,47,68,94
1000.0,2.0,0.7,48,56,302
1000.0,2.0,0.7,49,70,86
1000.0,2.0,0.7,50,66,46
1000.0,2.0,0.7,51,51,46
1000.0,2.0,0.7,52,69,75
1000.0,2.0,0.7,53,69,24
1000.0,2.0,0.7,54,55,25
1000.0,2.0,0.7,55,63,44
1000.0,2.0,0.7,56,37,17
1000.0,2.0,0.7,57,58,41
1000.0,2.0,0.7,58,52,75
1000.0,2.0,0.7,59,61,48
1000.0,2.0,0.7,60,35,210
1000.0,2.0,0.7,61,61,33
1000.0,2.0,0.7,62,65,40
1000.0,2.0,0.7,63,67,49
